Generation,Fitmax,Fitness
194,2.42441,0.27572
195,2.42441,0.27683
196,2.42441,0.27712
197,2.42441,0.27471
198,2.42441,0.27550
199,2.42441,0.27784
200,2.42441,0.28015
201,2.42441,0.27931
202,2.42441,0.27700
203,2.42441,0.28040
204,2.42441,0.27723
205,2.42441,0.27861
206,2.42441,0.28076
207,2.42441,0.27877
208,2.42441,0.27997
209,2.42441,0.28039
210,2.42441,0.28110
211,2.42441,0.28012
212,2.42441,0.27998
213,2.42441,0.28182
214,2.42441,0.28428
215,2.42441,0.28496
216,2.42441,0.28446
217,2.42441,0.28452
218,2.42441,0.28150
219,2.42441,0.28300
220,2.42441,0.28692
221,2.42441,0.28610
222,2.42441,0.28368
223,2.42441,0.27982
224,2.42441,0.28099
225,2.42441,0.28267
226,2.42441,0.28389
227,2.42441,0.28298
228,2.42441,0.28291
229,2.42441,0.28183
230,2.42441,0.27924
231,2.42441,0.28071
232,2.42441,0.28342
233,2.42441,0.28219
234,2.42441,0.28453
235,2.42441,0.28236
236,2.42441,0.28298
237,2.42441,0.28150
238,2.42441,0.28412
239,2.42441,0.28587
240,2.42441,0.29068
241,2.42441,0.28666
242,2.42441,0.28933
243,2.42441,0.28986
244,2.42441,0.28915
245,2.42441,0.29263
246,2.42441,0.29251
247,2.42441,0.29395
248,2.42441,0.29277
249,2.42441,0.29331
250,2.42441,0.29154
251,2.42441,0.28914
252,2.42441,0.29028
253,2.42441,0.29193
254,2.42441,0.29110
255,2.42441,0.29227
256,2.42441,0.29126
257,2.42441,0.29003
258,2.42441,0.29239
259,2.42441,0.28810
260,2.42441,0.28930
261,2.42441,0.28979
262,2.42441,0.28901
263,2.42441,0.29038
264,2.42441,0.29057
265,2.42441,0.29282
266,2.42441,0.29107
267,2.42441,0.29119
268,2.42441,0.29145
269,2.42441,0.29396
270,2.42441,0.29288
271,2.42441,0.29291
272,2.42441,0.29465
273,2.42441,0.29467
274,2.42441,0.29351
275,2.42441,0.29360
276,2.42441,0.29461
277,2.42441,0.29371
278,2.42441,0.29272
279,2.42441,0.29290
280,2.42441,0.29545
281,2.42441,0.29547
282,2.42441,0.29572
283,2.42441,0.29728
284,2.42441,0.29889
285,2.42441,0.29700
286,2.42441,0.29553
287,2.42441,0.29575
288,2.42441,0.29711
289,2.42441,0.29849
290,2.42441,0.29747
291,2.42441,0.29648
292,2.42441,0.29536
293,2.42441,0.29561
294,2.42441,0.29436
295,2.42441,0.29426
296,2.42441,0.29543
297,2.42441,0.29584
298,2.42441,0.29731
299,2.42441,0.30101
300,2.42441,0.30073
301,2.42441,0.29964
302,2.42441,0.29913
303,2.42441,0.29707
304,2.42441,0.29889
